id,description,fr
correction.correctionForApprovalDialog.actions.send,The send button for the dialog when record correction sent by registration agent for approval,Confirmer
correction.correctionForApprovalDialog.description,The description for the dialog when record correction sent by registration agent for approval,Cela initiera une demande officielle de correction pour l'enregistrement sélectionné. Des documents justificatifs peuvent être exigés.
correction.correctionForApprovalDialog.title,The title for the dialog when record correction sent by registration agent for approval,Demander une correction de l'enregistrement ?
correction.correctionReject.description,The description for reject correction modal,Le rejet de cette demande de correction laissera le registre officiel inchangé. Un motif de rejet doit être fourni.
correction.correctionReject.reason,Correction request rejection reason,Motif du rejet
correction.correctionRequest,Correction request text,Demande de correction
correction.corrector.anotherAgent,Label for another registration or field agent option in certificate correction form,Un autre agent d'enregistrement ou un agent de terrain
correction.corrector.birth.note,Birth correction note,"Note : Si l'enfant a atteint l'âge légal (18 ans), il est le seul à pouvoir demander une modification de son acte de naissance."
correction.corrector.bride,Label for bride option in certificate correction form,Mariée
correction.corrector.child,Label for child option in certificate correction form,Enfant
correction.corrector.court,Label for court option in certificate correction form,Tribunal
correction.corrector.description,The description for the dialog when details of the corrector not verified,"Sachez que si vous poursuivez, vous serez responsable de la modification de cet enregistrement sans la preuve d'identification nécessaire"
correction.corrector.error,Error for corrector form,Veuillez sélectionner la personne qui corrige le certificat
correction.corrector.father,Label for father option in certificate correction form,Père
correction.corrector.groom,Label for groom option in certificate correction form,Marié
correction.corrector.informant,Label for informant option in certificate correction form,"Informateur ({informant, select, MOTHER {Mère} FATHER {Père} GRANDFATHER {Grand-père} GRANDMOTHER {Grand-mère} BROTHER {Frère} SISTER {Sœur} LEGAL_GUARDIAN {Tuteur légal} BRIDE {Mariée} GROOM {Marié} HEAD_OF_GROOM_FAMILY {Chef de la famille du marié} HEAD_OF_BRIDE_FAMILY {Chef de la famille de la mariée} SPOUSE {Conjoint} SON {Fils} DAUGHTER {Fille} SON_IN_LAW {Beau-fils} DAUGHTER_IN_LAW {Belle-fille} GRANDSON {Petit-fils} GRANDDAUGHTER {Petite-fille} other {{informant}}})"
correction.corrector.legalGuardian,Label for legal guardian option in certificate correction form,Tuteur légal
correction.corrector.me,Label for registrar option in certificate correction form,Moi
correction.corrector.mother,Label for mother option in certificate correction form,Mère
correction.corrector.others,Label for someone else option in certificate correction form,Quelqu'un d'autre
correction.corrector.title,The title for the corrector form,Qui demande une modification de ce dossier ?
correction.informant.error,Error for corrector form,Veuillez choisir qui est l'informateur
correction.label.verifyIdentity.cancel,Label for cancellation of identity verificationin correction request,Non
correction.label.verifyIdentity.confirm,Label for verification of identity in correction request,Oui
correction.name,Certificate correction section name,Correction
correction.reason.additionalComment,Label for any additional comment for correction reason form,Un commentaire supplémentaire ?
correction.reason.clericalError,Label for clerical error for correction reason form,Moi-même ou un agent avons fait une erreur (erreur d'écriture)
correction.reason.error,Error for reason form,Veuillez indiquer la raison du changement
correction.reason.judicialOrder,Label for judicial order for correction reason form,requis par le tribunal (Ordonnance judiciaire)
correction.reason.materialError,Label for material error for correction reason form,L'informateur a fourni des informations incorrectes (erreur matérielle)
correction.reason.materialOmission,Label for material omission for correction reason form,L'informateur n'a pas fourni cette information (Omission matérielle)
correction.reason.other,Label for other for correction reason form,Autre
correction.reason.reasonForChange,Label for other reason for correction reason form,Motif de la correction
correction.reason.title,The title for the correction reason form,Quelle était la raison de la correction?
correction.request,Status for application being requested for correction,Correction demandée
correction.requesterOffice,Correction requester office label,Bureau
correction.submittedBy,Correction submitted by label,Déposant
correction.submittedOn,Correction submitted on label,Date de soumission
correction.summary.addComments,Add Comments header for certificate correction summary,Ajouter des commentaires
correction.summary.change,Change link label,Modifier
correction.summary.comments,Comments header for certificate correction summary,Commentaires
correction.summary.correction,Correction value table header for certificate correction summary,Correction
correction.summary.feesRequired,Fees required for certificate correction summary,Frais exigés ?
correction.summary.feesRequiredNegative,Negative label for Fees required for certificate correction summary,Non
correction.summary.feesRequiredPositive,Positive label for Fees required for certificate correction summary,Oui
correction.summary.idCheck,ID check header for certificate correction summary,Contrôle d'identité
correction.summary.idCheckForCorrection,The title for the dialog when details of the collector not verified for correction,Correct sans pièce d'identité ?
correction.summary.item,Corrected item table header for certificate correction summary,Point
correction.summary.office,Office where certificate correction summary was submitted,Bureau
correction.summary.original,Original value table header for certificate correction summary,Original
correction.summary.proofOfPayment,Proof of payment label fees payment document,Preuve de paiement
correction.summary.proofOfPaymentRequired,Validation for proof of payment document for certificate correction summary,Une preuve de paiement est requise
correction.summary.reasonForRequest,Reason for request header for certificate correction summary,Raison de la demande
correction.summary.requestedBy,Requested by header for certificate correction summary,Demandée par
correction.summary.requestedOn,Date when certificate correction summary was submitted,Demandé le
correction.summary.required,Payment and proof of payment input error,Nécessaire pour la correction
correction.summary.section.title,Corrections section title,Corrections
correction.summary.submitter,Submitter of certificate correction summary,Déposant
correction.summary.supportingDocuments,Supporting documents header for certificate correction summary,Documents à l'appui
correction.summary.title,Title for certificate correction summary,Résumé de la correction
correction.summary.totalPaymentLabel,Label of total payment in correction summary,Total {currency}
correction.supportingDocuments.attestToSeeCorrectionDocument,Option for form field: Correction Supporting Document,J'atteste avoir vu les documents justificatifs et en avoir une copie déposée à mon bureau.
correction.supportingDocuments.docTypeAffidavitProof,Label for select option Affidavit,Affidavit
correction.supportingDocuments.docTypeCourtDocument,Label for select option Court Document,Document du tribunal
correction.supportingDocuments.docTypeOther,Label for select option Other,Autre
correction.supportingDocuments.noDocumentsRequiredForCorrection,Option for form field: Correction Supporting Document,Aucune pièce justificative requise
correction.supportingDocuments.proofOfLegalDocuments,Label for list item of legal proof,Preuve des documents de correction légale
correction.supportingDocuments.select.placeholder,Placeholder text for a select,Sélectionnez
correction.supportingDocuments.subtitle,Label for supportingDocuments form subtitle in certificate correction form,Pour toutes les corrections d'enregistrements
correction.supportingDocuments.supportDocumentForCorrection,Label for form field: Correction Supporting Document,Vérifier le document justificatif ?
correction.supportingDocuments.title,Label for supportingDocuments form title in certificate correction form,Télécharger les documents justificatifs
correction.title,Certificate correction section title,Corriger l'enregistrement
countries.ABW,ISO Country: ABW,Aruba
countries.AFG,ISO Country: AFG,Afghanistan
countries.AGO,ISO Country: AGO,Angola
countries.AIA,ISO Country: AIA,Anguilla
countries.ALA,ISO Country: ALA,Îles Åland
countries.ALB,ISO Country: ALB,Albanie
countries.AND,ISO Country: AND,Andorre
countries.ARE,ISO Country: ARE,Emirats Arabes Unis
countries.ARG,ISO Country: ARG,Argentine
countries.ARM,ISO Country: ARM,Arménie
countries.ASM,ISO Country: ASM,Samoa Américaine
countries.ATA,ISO Country: ATA,Antarctique
countries.ATF,ISO Country: ATF,Terres australes françaises
countries.ATG,ISO Country: ATG,Antigua et Barbuda
countries.AUS,ISO Country: AUS,Australie
countries.AUT,ISO Country: AUT,Autriche
countries.AZE,ISO Country: AZE,Azerbaïdjan
countries.BDI,ISO Country: BDI,Burundi
countries.BEL,ISO Country: BEL,Belgique
countries.BEN,ISO Country: BEN,Bénin
countries.BES,ISO Country: BES,"Bonaire, Sint Eustatius et Saba"
countries.BFA,ISO Country: BFA,Burkina Faso
countries.BGD,ISO Country: BGD,Bangladesh
countries.BGR,ISO Country: BGR,Bulgarie
countries.BHR,ISO Country: BHR,Bahreïn
countries.BHS,ISO Country: BHS,Bahamas
countries.BIH,ISO Country: BIH,Bosnie-Herzégovine
countries.BLM,ISO Country: BLM,Saint Barthélemy
countries.BLR,ISO Country: BLR,Bélarus
countries.BLZ,ISO Country: BLZ,Belize
countries.BMU,ISO Country: BMU,Bermudes
countries.BOL,ISO Country: BOL,Bolivie (État plurinational de)
countries.BRA,ISO Country: BRA,Brésil
countries.BRB,ISO Country: BRB,Barbade
countries.BRN,ISO Country: BRN,Brunei Darussalam
countries.BTN,ISO Country: BTN,Bhoutan
countries.BVT,ISO Country: BVT,"Bouvet, île"
countries.BWA,ISO Country: BWA,Botswana
countries.CAF,ISO Country: CAF,République Centrafricaine
countries.CAN,ISO Country: CAN,Canada
countries.CCK,ISO Country: CCK,"Cocos (Keeling), îles"
countries.CHE,ISO Country: CHE,Suisse
countries.CHL,ISO Country: CHL,Chili
countries.CHN,ISO Country: CHN,Chine
countries.CIV,ISO Country: CIV,Côte d'Ivoire
countries.CMR,ISO Country: CMR,Cameroun
countries.COD,ISO Country: COD,République démocratique du Congo
countries.COG,ISO Country: COG,Congo
countries.COK,ISO Country: COK,Cook Islands
countries.COL,ISO Country: COL,Colombie
countries.COM,ISO Country: COM,Comores
countries.CPV,ISO Country: CPV,Cabo Verde
countries.CRI,ISO Country: CRI,Costa Rica
countries.CUB,ISO Country: CUB,Cuba
countries.CUW,ISO Country: CUW,Curaçao
countries.CXR,ISO Country: CXR,Île Christmas
countries.CYM,ISO Country: CYM,Caïmans (îles)
countries.CYP,ISO Country: CYP,Chypre
countries.CZE,ISO Country: CZE,Tchécoslovaquie
countries.DEU,ISO Country: DEU,Allemagne
countries.DJI,ISO Country: DJI,Djibouti
countries.DMA,ISO Country: DMA,Dominique
countries.DNK,ISO Country: DNK,Danemark
countries.DOM,ISO Country: DOM,République Dominicaine
countries.DZA,ISO Country: DZA,Algérie
countries.ECU,ISO Country: ECU,Équateur
countries.EGY,ISO Country: EGY,Égypte
countries.ERI,ISO Country: ERI,Érythrée
countries.ESH,ISO Country: ESH,Sahara occidental
countries.ESP,ISO Country: ESP,Espagne
countries.EST,ISO Country: EST,Estonie
countries.ETH,ISO Country: ETH,Éthiopie
countries.FAR,Fictional country for OpenCRVS demo,Farajaland
countries.FIN,ISO Country: FIN,Finlande
countries.FJI,ISO Country: FJI,Fidji
countries.FLK,ISO Country: FLK,Falkland Islands (Malvinas)
countries.FRA,ISO Country: FRA,France
countries.FRO,ISO Country: FRO,Îles Féroé
countries.FSM,ISO Country: FSM,Micronésie (Etats fédérés de)
countries.GAB,ISO Country: GAB,Gabon
countries.GBR,ISO Country: GBR,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
countries.GEO,ISO Country: GEO,Géorgie
countries.GGY,ISO Country: GGY,Guernesey
countries.GHA,ISO Country: GHA,Ghana
countries.GIB,ISO Country: GIB,Gibraltar
countries.GIN,ISO Country: GIN,Guinée
countries.GLP,ISO Country: GLP,Guadeloupe
countries.GMB,ISO Country: GMB,Gambie
countries.GNB,ISO Country: GNB,Guinée-Bissau
countries.GNQ,ISO Country: GNQ,Guinée équatoriale
countries.GRC,ISO Country: GRC,Grèce
countries.GRD,ISO Country: GRD,Grenade
countries.GRL,ISO Country: GRL,Groenland
countries.GTM,ISO Country: GTM,Guatemala
countries.GUF,ISO Country: GUF,Guyane française
countries.GUM,ISO Country: GUM,Guam
countries.GUY,ISO Country: GUY,Guyane
countries.HKG,ISO Country: HKG,"Chine, région administrative spéciale de Hong Kong"
countries.HMD,ISO Country: HMD,Île Heard et îles McDonald
countries.HND,ISO Country: HND,Honduras
countries.HRV,ISO Country: HRV,Croatie
countries.HTI,ISO Country: HTI,Haïti
countries.HUN,ISO Country: HUN,Hongrie
countries.IDN,ISO Country: IDN,Indonésie
countries.IMN,ISO Country: IMN,Ile de Man
countries.IND,ISO Country: IND,Inde
countries.IOT,ISO Country: IOT,Territoire britannique de l'océan Indien
countries.IRL,ISO Country: IRL,Irlande
countries.IRN,ISO Country: IRN,Iran (République islamique d')
countries.IRQ,ISO Country: IRQ,Irak
countries.ISL,ISO Country: ISL,Islande
countries.ISR,ISO Country: ISR,Israël
countries.ITA,ISO Country: ITA,Italie
countries.JAM,ISO Country: JAM,Jamaïque
countries.JEY,ISO Country: JEY,Jersey
countries.JOR,ISO Country: JOR,Jordanie
countries.JPN,ISO Country: JPN,Japon
countries.KAZ,ISO Country: KAZ,Kazakhstan
countries.KEN,ISO Country: KEN,Kenya
countries.KGZ,ISO Country: LAO,République démocratique populaire lao
countries.KHM,ISO Country: KHM,Cambodge
countries.KIR,ISO Country: KIR,Kiribati
countries.KNA,ISO Country: KNA,Saint-Kitts-et-Nevis
countries.KOR,ISO Country: KOR,République de Corée
countries.KWT,ISO Country: KWT,Koweït
countries.LBN,ISO Country: LBN,Liban
countries.LBR,ISO Country: LBR,Liberia
countries.LBY,ISO Country: LBY,Libye
countries.LCA,ISO Country: LCA,Sainte-Lucie
countries.LIE,ISO Country: LIE,Liechtenstein
countries.LKA,ISO Country: LKA,Sri Lanka
countries.LSO,ISO Country: LSO,Lesotho
countries.LTU,ISO Country: LTU,Lituanie
countries.LUX,ISO Country: LUX,Luxembourg
countries.LVA,ISO Country: LVA,Lettonie
countries.MAC,ISO Country: MAC,"Chine, Région administrative spéciale de Macao"
countries.MAF,ISO Country: MAF,Saint Martin (partie française)
countries.MAR,ISO Country: MAR,Maroc
countries.MCO,ISO Country: MCO,Monaco
countries.MDA,ISO Country: MDA,République de Moldavie
countries.MDG,ISO Country: MDG,Madagascar
countries.MDV,ISO Country: MDV,Maldives
countries.MEX,ISO Country: MEX,Mexique
countries.MHL,ISO Country: MHL,Îles Marshall
countries.MKD,ISO Country: MKD,L'ancienne République yougoslave de Macédoine
countries.MLI,ISO Country: MLI,Mali
countries.MLT,ISO Country: MLT,Malte
countries.MMR,ISO Country: MMR,Myanmar
countries.MNE,ISO Country: MNE,Monténégro
countries.MNG,ISO Country: MNG,Mongolie
countries.MNP,ISO Country: MNP,Mariannes du Nord (îles)
countries.MOZ,ISO Country: MOZ,Mozambique
countries.MRT,ISO Country: MRT,Mauritanie
countries.MSR,ISO Country: MSR,Montserrat
countries.MTQ,ISO Country: MTQ,Martinique
countries.MUS,ISO Country: MUS,Maurice
countries.MWI,ISO Country: MWI,Malawi
countries.MYS,ISO Country: MYS,Malaisie
countries.MYT,ISO Country: MYT,Mayotte
countries.NAM,ISO Country: NAM,Namibie
countries.NCL,ISO Country: NCL,Nouvelle-Calédonie
countries.NER,ISO Country: NER,Niger
countries.NFK,ISO Country: NFK,Île Norfolk
countries.NGA,ISO Country: NGA,Nigeria
countries.NIC,ISO Country: NIC,Nicaragua
countries.NIU,ISO Country: NIU,Niue
countries.NLD,ISO Country: NLD,Pays-Bas
countries.NOR,ISO Country: NOR,Norvège
countries.NPL,ISO Country: NPL,Népal
countries.NRU,ISO Country: NRU,Nauru
countries.NZL,ISO Country: NZL,Nouvelle-Zélande
countries.OMN,ISO Country: OMN,Oman
countries.PAK,ISO Country: PAK,Pakistan
countries.PAN,ISO Country: PAN,Panama
countries.PCN,ISO Country: PCN,Pitcairn
countries.PER,ISO Country: PER,Pérou
countries.PHL,ISO Country: PHL,Philippines
countries.PLW,ISO Country: PLW,Palau
countries.PNG,ISO Country: PNG,Papouasie-Nouvelle-Guinée
countries.POL,ISO Country: POL,Pologne
countries.PRI,ISO Country: PRI,Porto Rico
countries.PRK,PRK,République populaire démocratique de Corée
countries.PRT,ISO Country: PRT,Portugal
countries.PRY,ISO Country: PRY,Paraguay
countries.PSE,ISO Country: PSE,Etat de Palestine
countries.PYF,ISO Country: PYF,Polynésie française
countries.QAT,ISO Country: QAT,Qatar
countries.REU,ISO Country: REU,Réunion
countries.ROU,ISO Country: ROU,Roumanie
countries.RUS,ISO Country: RUS,Fédération de Russie
countries.RWA,ISO Country: RWA,Rwanda
countries.SAU,ISO Country: SAU,Arabie Saoudite
countries.SDN,ISO Country: SDN,Soudan
countries.SEN,ISO Country: SEN,Sénégal
countries.SGP,ISO Country: SGP,Singapour
countries.SGS,ISO Country: SGS,Géorgie du Sud et les îles Sandwich du Sud
countries.SHN,ISO Country: SHN,Sainte-Hélène
countries.SJM,ISO Country: SJM,Svalbard et Jan Mayen (îles)
countries.SLB,ISO Country: SLB,Salomon (îles)
countries.SLE,ISO Country: SLE,Sierra Leone
countries.SLV,ISO Country: SLV,El Salvador
countries.SMR,ISO Country: SMR,Saint-Marin
countries.SOM,ISO Country: SOM,Somalie
countries.SPM,ISO Country: SPM,Saint Pierre et Miquelon
countries.SRB,ISO Country: SRB,Serbie
countries.SSD,ISO Country: SSD,Sud-Soudan
countries.STP,ISO Country: STP,Sao Tomé et Principe
countries.SUR,ISO Country: SUR,Suriname
countries.SVK,ISO Country: SVK,Slovaquie
countries.SVN,ISO Country: SVN,Slovénie
countries.SWE,ISO Country: SWE,Suède
countries.SWZ,ISO Country: SWZ,Eswatini
countries.SXM,ISO Country: SXM,Sint Maarten (partie néerlandaise)
countries.SYC,ISO Country: SYC,Seychelles
countries.SYR,ISO Country: SYR,République arabe syrienne
countries.TCA,ISO Country: TCA,Îles Turks et Caicos
countries.TCD,ISO Country: TCD,Tchad
countries.TGO,ISO Country: TGO,Togo
countries.THA,ISO Country: THA,Thaïlande
countries.TJK,ISO Country: TJK,Tadjikistan
countries.TKL,ISO Country: TKL,Tokelau
countries.TKM,ISO Country: TKM,Turkménistan
countries.TLS,ISO Country: TLS,Timor-Leste
countries.TON,ISO Country: TON,Tonga
countries.TTO,ISO Country: TTO,Trinité-et-Tobago
countries.TUN,ISO Country: TUN,Tunisie
countries.TUR,ISO Country: TUR,Turquie
countries.TUV,ISO Country: TUV,Tuvalu
countries.TZA,ISO Country: TZA,République-Unie de Tanzanie
countries.UGA,ISO Country: UGA,Ouganda
countries.UKR,ISO Country: UKR,Ukraine
countries.UMI,ISO Country: UMI,Îles mineures éloignées des États-Unis
countries.URY,ISO Country: URY,Uruguay
countries.USA,ISO Country: USA,États-Unis d'Amérique
countries.UZB,ISO Country: UZB,Ouzbékistan
countries.VAT,ISO Country: VAT,Saint-Siège
countries.VCT,ISO Country: VCT,Saint-Vincent-et-les-Grenadines
countries.VEN,ISO Country: VEN,Venezuela (République bolivarienne du)
countries.VGB,ISO Country: VGB,Vierges britanniques (îles)
countries.VIR,ISO Country: VIR,Vierges américaines (îles)
countries.VNM,ISO Country: VNM,Viet Nam
countries.VUT,ISO Country: VUT,Vanuatu
countries.WLF,ISO Country: WLF,Wallis et Futuna (îles)
countries.WSM,ISO Country: WSM,Samoa
countries.YEM,ISO Country: YEM,Yémen
countries.ZAF,ISO Country: ZAF,Afrique du Sud
countries.ZMB,ISO Country: ZMB,Zambie
countries.ZWE,ISO Country ZWE,Zimbabwe
duplicates.button.markAsDuplicate,Mark as duplicate button text,Marquer comme duplicata
duplicates.button.notDuplicate,Not a duplicate button text,Pas un duplicata
duplicates.compare.supportingDocuments,Supporting documents header for duplicates comparison,Documents justificatifs
duplicates.compare.title,Duplicate compare page title message,Comparez {actualTrackingId} avec {duplicateTrackingId}
duplicates.content.duplicateDropdownMessage,Selecting from the duplicate trackingIds,Duplicata de
duplicates.content.header,Declaration details header of two duplicate ones,Détails de la déclaration
duplicates.content.markAsDuplicate,Mark as duplicate content confirmation title message,Marquer {trackingId} comme dupliqué?
duplicates.content.markAsDuplicateReason,Review page header for duplicates declarations,Veuillez décrire votre raison
duplicates.content.notDuplicateConfirmationTitle,Not a duplicate content confirmation title message,Êtes-vous sûr que {name} ({trackingId}) n'est pas en double?
duplicates.content.registeredAt,Registered at label for duplicates comparison,Enregistré à
duplicates.content.registeredBy,Registered by label for duplicates comparison,Enregistré par
duplicates.content.subtitle,Duplicates content subtitle message,Cet enregistrement a été signalé comme un doublon potentiel de : {trackingIds}. Veuillez les examiner en cliquant sur chaque identifiant de suivi dans la section des onglets pour afficher une comparaison côte à côte ci-dessous et confirmer si cet enregistrement est un doublon
duplicates.content.title,Duplicates content title message,Est-ce que {name} ({trackingId}) est un doublon?
duplicates.review.header,Review page header for duplicates declarations,Potentiel {event} examen de doublon
duplicates.warning,The warning message shown when a declaration has potential duplicates,Duplicata potentiel de l'enregistrement {trackingId}
editPageBanner.declaredMessage,The message for the edit page banner,Vous modifiez un dossier déclaré par {name} ({role} à {location})
editPageBanner.notifiedMessage,The message for the edit page banner,Vous modifiez un dossier déclaré par {name} ({role} à {location})
email.label.confirmation,Confirmation email address message,Un code de vérification a été envoyé à {email}
error.code,Error code,401
error.draftFailed,Tips for failed declarations,Il s'agit d'un message indiquant à l'utilisateur ce qu'il doit faire... en cas d'échec de la déclaration.
error.errorEmailAddressNotFound,Error message for email address not found,Adresse e-mail introuvable.
error.errorPhoneNumberNotFound,Error message for phone number not found,Numéro de téléphone mobile non trouvé.
error.networkError,The error that appears when there is no internet connection,Impossible de se connecter au serveur
error.occurred,The error message that displays if we want the user to try the action again,Une erreur s'est produite. Veuillez réessayer.
error.page.load.failed,Error message when page failed to load,"Désolé, nous n'avons pas pu charger le contenu de cette page."
error.passwordSubmissionError,Error message when password verification fails,Désolé que le mot de passe n'ait pas fonctionné
error.pdf,PDF loading error message,Échec du chargement du PDF
error.required.password,New password required,Le nouveau mot de passe n'est pas valide
error.search,The error message shown when a search query fails,Une erreur s'est produite lors de la recherche
error.searchParamCountError,Error message when the search parameters are less than two,Vous devez sélectionner un minimum de 2 critères de recherche
error.somethingWentWrong,Error description,Quelque chose s'est mal passé.
error.title,Error title,Oups !
error.title.unauthorized,Error title unauthorized,Non autorisé !
error.userListError,Error message when user list loads fails,Impossible de charger les utilisateurs
error.weAreTryingToFixThisError,Error description,"Ce n'est pas vous, c'est nous. C'est notre faute."
errors.notAssigned,User not assigned error toast message,Vous avez été désassigné de l'événement
errors.somethingWentWrong,Error toast message for general errors,Une erreur s'est produite. Veuillez réessayer
event.action.notAvailableForEvent,Shown when user tries to perform an action that is not available for the event,L'action que vous essayez d'effectuer n'est plus disponible pour cet événement
event.action.outbox-retry.label,Label for retry button for outbox,Réessayer
event.action.review-correction.label,Label for review correction button in dropdown menu,Revoir la demande de correction
event.birth.action.archive.label,Label for archive record button in dropdown menu,Aarchiver
event.birth.action.collect-certificate.label,This is shown as the action name anywhere the user can trigger the action from,Imprimer
event.birth.action.declare.label,This is shown as the action name anywhere the user can trigger the action from,Declare
event.birth.action.delete.label,Label for delete button in dropdown menu,Supprimer
event.birth.action.mark-as-duplicate.label,Label for review potential duplicate button in dropdown menu,Examiner les doublons potentiels
event.birth.action.register.label,Label for review record button in dropdown menu,Enregistrer
event.birth.action.reject.label,Label for reject button in dropdown menu,Rejeter
event.birth.action.request-correction.label,Label for request correction button in dropdown menu,Corriger
event.default.action.certificate.template.type.label,This is the label for the field,Taper
event.default.action.certificate.template.type.notFound,Select certificate template options not found,"Aucun modèle disponible pour cette event, contactez l’admin"
event.edit.comment.label,The label for the comment,Commentaires
event.edit.declareWithEdits.label,Label for Declare with edits in edit action menu,Déclarer avec modifications
event.edit.notifyWithEdits.label,"Label for ""Notify with edits"" in edit action menu",Notifier avec modifications
event.edit.registerWithEdits.label,Label for Register with edits in edit action menu,Enregistrer avec modifications
event.history.role,,"{role, select, LOCAL_REGISTRAR {Officier d'état civil local} REGISTRATION_AGENT {Agent d'enregistrement} PERFORMANCE_MANAGER {Responsable des opérations} LOCAL_SYSTEM_ADMIN {Administrateur} NATIONAL_SYSTEM_ADMIN {Administrateur national} NATIONAL_REGISTRAR {Registraire général} HOSPITAL_CLERK {Officiel de l'hôpital} COMMUNITY_LEADER {Responsable communautaire} PROVINCIAL_REGISTRAR {Registraire provincial} EMBASSY_OFFICIAL {Officiel d'ambassade} other {Inconnu}}"
event.history.system,Name for system initiated actions in the event history,System
event.history.systemDefaultName,Fallback for system integration name in the event history,Intégration système
event.not.downloaded,Shown when user tries to perform an action on event that is not available ,Veuillez vous assurer que l'événement est d'abord attribué et téléchargé dans le navigateur.
event.summary.assignedTo.empty,Not assigned message,Non assigné
event.summary.assignedTo.label,Assigned to label,Assigné à
event.summary.assignedTo.value,Assigned to value,{event.assignedTo}
event.summary.event.label,Event label,Événement
event.summary.flags.label,Flags of the event,Drapeaux
event.summary.flags.placeholder,Message when no flags are present,Pas de drapeaux
event.summary.registrationNumber.empty,No registration number message,Aucun numéro d'inscription
event.summary.registrationNumber.label,Registration Number label,Numéro d'inscription
event.summary.registrationNumber.value,Registration number value,{event.registrationNumber}
event.summary.status.label,Status of the event,Statut
event.summary.status.value,Status of the event,"{event.status, select, CREATED {Brouillon} NOTIFIED {Incomplet} VALIDATED {Validé} DRAFT {Brouillon} DECLARED {Déclaré} REGISTERED {Enregistré} CERTIFIED {Certifié} REJECTED {Requiert une mise à jour} ARCHIVED {Archivé} MARKED_AS_DUPLICATE {Marqué comme doublon} MARK_AS_NOT_DUPLICATE {Marqué comme non en doublon} other {Inconnu}}"
event.summary.trackingId.empty,No tracking ID message,Aucun ID de suivi
event.summary.trackingId.label,Tracking id label,ID de suivi
event.summary.trackingId.value,Tracking id value,{event.trackingId}
events.history.status,,"{status, select, Requested {En attente de validation externe} other {{action, select, CREATE {Déclaration commencée} NOTIFY {Envoyé incomplet} EDIT {Modifié} VALIDATE {Envoyé pour approbation} DRAFT {Brouillon} DECLARE {Envoyé pour révision} REGISTER {Enregistré} PRINT_CERTIFICATE {Certifié} REJECT {Rejeté} ARCHIVE {Archivé} DUPLICATE_DETECTED {Marqué comme doublon} MARK_AS_DUPLICATE {Marqué comme doublon} MARK_AS_NOT_DUPLICATE {Marqué comme non en doublon} CORRECTED {Enregistrement corrigé} REQUEST_CORRECTION {Correction demandée} APPROVE_CORRECTION {Correction approuvée} REJECT_CORRECTION {Correction refusée} READ {Consulté} ASSIGN {Attribué} UNASSIGN {Désattribué} UPDATE {Mis à jour} other {Inconnu}}}}"
events.outbox.processingAction,,"{action, select, DECLARE {Envoi} REGISTER {Enregistrement} VALIDATE {Envoi pour approbation} NOTIFY {Envoi} REJECT {Envoi pour mise à jour} ARCHIVE {Archivage} PRINT_CERTIFICATE {Certification} REQUEST_CORRECTION {Demande de correction} APPROVE_CORRECTION {Approbation de la correction} REJECT_CORRECTION {Rejet de la correction} ASSIGN {Attribution} UNASSIGN {Désattribution} other {action en cours}}"
events.outbox.waitingForAction,,"En attente de {action, select, DECLARE {l'envoi} CREATE {l'envoi} REGISTER {l'enregistrement} VALIDATE {l'envoi pour approbation} NOTIFY {l'envoi} REJECT {l'envoi pour mise à jour} ARCHIVE {l'archivage} PRINT_CERTIFICATE {la certification} REQUEST_CORRECTION {la demande de correction} APPROVE_CORRECTION {l'approbation de la correction} REJECT_CORRECTION {le rejet de la correction} ASSIGN {l'attribution} UNASSIGN {la désattribution} other {l'action}}"
events.overview.tabs.audit,,Audit
events.overview.tabs.record,,Enregistrement
events.overview.tabs.summary,,Récapitulatif
events.status,,"{status, select, OUTBOX {Synchronisation..} CREATED {Brouillon} VALIDATED {Validé} DRAFT {Brouillon} DECLARED {Déclaré} REGISTERED {Enregistré} CERTIFIED {Certifié} REJECTED {Nécessite une mise à jour} ARCHIVED {Archivé} MARKED_AS_DUPLICATE {Marqué comme doublon} MARK_AS_NOT_DUPLICATE {Marqué comme non en doublon} NOTIFIED {Notifié} other {Inconnu}}"
exitModal.cancel,,Annuler
exitModal.exitWithoutSaving,,Quitter sans enregistrer les modifications?
exitModal.exitWithoutSavingDescription,,Vous avez des modifications non enregistrées sur votre formulaire de déclaration. Voulez-vous vraiment quitter sans enregistrer ?
field.address.country.label,This is the label for the field,Pays
field.address.district.label,Label for district in address,District
field.address.province.label,Label for province in address,Province
field.name.firstname.label,This is the label for the firstname field,Prénom(s)
field.name.middlename.label,This is the label for the middlename field,Deuxième prénom(s)
field.name.surname.label,This is the label for the surname field,Nom(s)
fieldAgentHome.queryError,The text when error ocurred loading rejected declarations,Une erreur s'est produite lors du chargement des déclarations
file.upload.fileSize.error,Error message when the selected file is too large,La taille du fichier doit être inférieure à {maxSize}M
file.upload.fileType.error,Error message when the selected file type is not supported,Format de fichier non pris en charge. Veuillez joindre un {types} (max {maxSize}mb)
flags.builtin.correction-requested.label,Flag label for correction requested,Correction demandée
flags.builtin.edit-in-progress.label,Flag label for edit in progress,Modification en cours
flags.builtin.incomplete.label,Flag label for incomplete,Incomplet
flags.builtin.potential-duplicate.label,Flag label for potential duplicate,Doublon potentiel
flags.builtin.rejected.label,Flag label for rejected,Rejeté
